Dataset_id,Public_dataset_id,Data_path,Data_type,Notes_download,Pubmed_id,Disease,Status,Control,Species,Brain_region,Treatment,Sex,Stage,Age,N_cells,Protocol,Methodology,Model,Protocol details,JUST KEEP FOR SEARCH (NO NEED),Notes,
AD085099,GSM8295111,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295111_6289-MW-0282_,10x_matrix,,39528672,AD,Disease,,Human,BA46,no data available,Female,no data available,65 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
AD085100,GSM8295112,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295112_6289-MW-0029_,10x_matrix,,39528672,AD,Disease,,Human,BA20,no data available,Female,no data available,79 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
AD085101,GSM8295113,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295113_6289-MW-0280_,10x_matrix,,39528672,AD,Disease,,Human,BA20,no data available,Female,no data available,65 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
AD085102,GSM8295114,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295114_6289-MW-0276_,10x_matrix,,39528672,AD,Disease,,Human,V2,no data available,Female,no data available,65 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
AD085103,GSM8295115,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295115_6289-MW-0270_,10x_matrix,,39528672,AD,Disease,,Human,BA20,no data available,Female,no data available,84 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
AD085104,GSM8295116,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295116_6289-MW-0268_,10x_matrix,,39528672,AD,Disease,,Human,BA46,no data available,Female,no data available,84 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
AD085105,GSM8295117,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295117_6289-MW-0266_,10x_matrix,,39528672,AD,Disease,,Human,V1,no data available,Female,no data available,84 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
AD085106,GSM8295118,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295118_6289-MW-0264_,10x_matrix,,39528672,AD,Disease,,Human,V2,no data available,Female,no data available,84 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
AD085107,GSM8295119,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295119_6289-MW-0262_,10x_matrix,,39528672,AD,Disease,,Human,EC,no data available,Female,no data available,84 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
AD085108,GSM8295120,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295120_6289-MW-0260_,10x_matrix,,39528672,AD,Disease,,Human,EC,no data available,male,no data available,82 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
AD085109,GSM8295121,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295121_6289-MW-0258_,10x_matrix,,39528672,AD,Disease,,Human,BA20,no data available,male,no data available,82 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
AD085110,GSM8295122,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295122_6289-MW-0256_,10x_matrix,,39528672,AD,Disease,,Human,BA46,no data available,male,no data available,82 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
AD085111,GSM8295123,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295123_6289-MW-0027_,10x_matrix,,39528672,AD,Disease,,Human,BA46,no data available,Female,no data available,79 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
AD085112,GSM8295124,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295124_6289-MW-0254_,10x_matrix,,39528672,AD,Disease,,Human,V1,no data available,male,no data available,82 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
AD085113,GSM8295125,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/raw/PMID39528672/GSM8295125_6289-MW-0252_,10x_matrix,,39528672,AD,Disease,,Human,V2,no data available,male,no data available,82 years,,10X Genomics,Single-nucleus RNA sequencing,,"Nuclei were isolated and sorted following published procedures18. Briefly, 30-40 forty-μm-thick cryostat sections were lysed in a sucrose lysis buffer (10 mM Tris-HCl pH 8.0, 320 mM sucrose, 5 mM CaCl2, 3 μM Mg(Ac)2, 0.1 mM EDTA, 1 mM DTT, and 0.1% Triton X-100). The resulting lysates were filtered through a 70 μm-pore cell strainer and nuclei were purified from filtrates by ultracentrifugation (107,000xg for 1.5 h at 4oC) through a sucrose cushion (10 mM Tris-HCl pH 8.0, 1.8 M sucrose, 3 μM Mg(Ac)2, 0.1 mM EDTA, and 1 mM DTT). Supernatants were removed and pellets were resuspended in 2% BSA/PBS containing RNase inhibitor (0.2 U/μL, Roche). To enrich astrocyte nuclei, we followed a strategy of depletion of neurons and oligodendrocytes. Nuclei were labeled with AlexaFluor647- conjugated mouse monoclonal anti-NeuN antibody (clone 1B7, Novus Biologicals, NBP1-92693AF647) and PE-conjugated mouse monoclonal anti-OLIG2 antibody (clone 211F1.1, EMD Millipore, MABN50A4). After washes, nuclei were stained with Sytox blue (Thermo Fisher) and sorted on a BD FACSAria Fusion. For each sample, we collected SytoxposNeuNposOLIG2neg and SytoxposNeuNnegOLIG2neg.Single-nucleus cDNA libraries were constructed using the Chromium Single Cell 3‘ Reagents Kit V3 following the manufacturer’s instructions (10x Genomics). Samples were pooled and sequenced targeting at least 30K reads per cell on a Illumina NovaSeq 6000. Separation of NeuNposOLIG2neg and NeuNnegOLIG2neg into unique libraries allowed for increased number of reads and detected genes in non-neuronal cells as compared to published studies containing non-enriched nuclei snRNA-seq",,,
