Dataset_id,Public_dataset_id,Normation,Pubmed_id,Disease,Status,Control,Species,Brain_region,Treatment,Sex,Stage,Age,Zhu_Age,N_cells,Protocol,Methodology,Model,
AD093054,GSM7646166,,40112813,AD,Healthy,control,Human,Temporal Cortex,no data,Female,no data available,no data available,no data available,6704,10X Genomics,Single-nucleus RNA sequencing,E3/E3,
AD093055,GSM7646167,,40112813,AD,Healthy,control,Human,Temporal Cortex,no data,Female,no data available,no data available,no data available,3881,10X Genomics,Single-nucleus RNA sequencing,E3/E4,
AD093056,GSM7646168,,40112813,AD,Disease,,Human,Temporal Cortex,no data,Male,no data available,no data available,no data available,4993,10X Genomics,Single-nucleus RNA sequencing,E2/E3,
AD094001,GSM8148077,,40381615,AD,Healthy,control,Drosophila melanogaster,Head,no data,Female,no data available,10,10 days,3536792,10X Genomics,Single-nucleus RNA sequencing,,
AD094002,GSM8148078,,40381615,AD,Healthy,control,Drosophila melanogaster,Head,no data,Female,no data available,20,20 days,2879469,10X Genomics,Single-nucleus RNA sequencing,,
AD094003,GSM8148079,,40381615,AD,Healthy,control,Drosophila melanogaster,Head,no data,Female,no data available,30,30 days,2866501,10X Genomics,Single-nucleus RNA sequencing,,
AD094004,GSM8148080,,40381615,AD,Healthy,control,Drosophila melanogaster,Body,no data,Female,no data available,10,10 days,3419524,10X Genomics,Single-nucleus RNA sequencing,,
AD094005,GSM8148081,,40381615,AD,Healthy,control,Drosophila melanogaster,Body,no data,Female,no data available,20,20 days,3382021,10X Genomics,Single-nucleus RNA sequencing,,
AD094006,GSM8148082,,40381615,AD,Healthy,control,Drosophila melanogaster,Body,no data,Female,no data available,30,30 days,2271986,10X Genomics,Single-nucleus RNA sequencing,,
AD094007,GSM8148083,,40381615,AD,Healthy,control,Drosophila melanogaster,Head,no data,Male,no data available,10,10 days,3044933,10X Genomics,Single-nucleus RNA sequencing,,
AD094008,GSM8148084,,40381615,AD,Healthy,control,Drosophila melanogaster,Head,no data,Male,no data available,20,20 days,3194831,10X Genomics,Single-nucleus RNA sequencing,,
AD094009,GSM8148085,,40381615,AD,Healthy,control,Drosophila melanogaster,Head,no data,Male,no data available,30,30 days,2787084,10X Genomics,Single-nucleus RNA sequencing,,
AD094010,GSM8148086,,40381615,AD,Healthy,control,Drosophila melanogaster,Body,no data,Male,no data available,10,10 days,2952173,10X Genomics,Single-nucleus RNA sequencing,,
AD094011,GSM8148087,,40381615,AD,Healthy,control,Drosophila melanogaster,Body,no data,Male,no data available,20,20 days,2274560,10X Genomics,Single-nucleus RNA sequencing,,
AD094012,GSM8148088,,40381615,AD,Healthy,control,Drosophila melanogaster,Body,no data,Male,no data available,30,30 days,2709651,10X Genomics,Single-nucleus RNA sequencing,,
AD094013,GSM8148089,,40381615,AD,Disease,AD094001; AD094002; AD094003,Drosophila melanogaster,Head,no data,Female,no data available,10,10 days,3358850,10X Genomics,Single-nucleus RNA sequencing,AB42,
AD094014,GSM8148090,,40381615,AD,Disease,AD094001; AD094002; AD094003,Drosophila melanogaster,Head,no data,Female,no data available,20,20 days,3032359,10X Genomics,Single-nucleus RNA sequencing,AB42,
AD094015,GSM8148091,,40381615,AD,Disease,AD094004; AD094005; AD094006,Drosophila melanogaster,Body,no data,Female,no data available,10,10 days,3471583,10X Genomics,Single-nucleus RNA sequencing,AB42,
AD094016,GSM8148092,,40381615,AD,Disease,AD094004; AD094005; AD094006,Drosophila melanogaster,Body,no data,Female,no data available,20,20 days,3085481,10X Genomics,Single-nucleus RNA sequencing,AB42,
AD094017,GSM8148093,,40381615,AD,Disease,AD094007; AD094008; AD094008; AD094009,Drosophila melanogaster,Head,no data,Male,no data available,10,10 days,3380590,10X Genomics,Single-nucleus RNA sequencing,AB42,
AD094018,GSM8148094,,40381615,AD,Disease,AD094007; AD094008; AD094008; AD094009,Drosophila melanogaster,Head,no data,Male,no data available,20,20 days,2975113,10X Genomics,Single-nucleus RNA sequencing,AB42,
AD094019,GSM8148095,,40381615,AD,Disease,AD094010; AD094011; AD094012,Drosophila melanogaster,Body,no data,Male,no data available,10,10 days,3089194,10X Genomics,Single-nucleus RNA sequencing,AB42,
AD094020,GSM8148096,,40381615,AD,Disease,AD094010; AD094011; AD094012,Drosophila melanogaster,Body,no data,Male,no data available,20,20 days,2147131,10X Genomics,Single-nucleus RNA sequencing,AB42,
AD094021,GSM8148097,,40381615,AD,Disease,AD094001; AD094002; AD094003,Drosophila melanogaster,Head,no data,Female,no data available,20,20 days,3416487,10X Genomics,Single-nucleus RNA sequencing,hTau,
AD094022,GSM8148098,,40381615,AD,Disease,AD094001; AD094002; AD094003,Drosophila melanogaster,Head,no data,Female,no data available,30,30 days,2407910,10X Genomics,Single-nucleus RNA sequencing,hTau,
AD094023,GSM8148099,,40381615,AD,Disease,AD094004; AD094005; AD094006,Drosophila melanogaster,Body,no data,Female,no data available,20,20 days,3434655,10X Genomics,Single-nucleus RNA sequencing,hTau,
AD094024,GSM8148100,,40381615,AD,Disease,AD094004; AD094005; AD094006,Drosophila melanogaster,Body,no data,Female,no data available,30,30 days,2179301,10X Genomics,Single-nucleus RNA sequencing,hTau,
AD094025,GSM8148101,,40381615,AD,Disease,AD094007; AD094008; AD094008; AD094009,Drosophila melanogaster,Head,no data,Male,no data available,20,20 days,2647156,10X Genomics,Single-nucleus RNA sequencing,hTau,
AD094026,GSM8148102,,40381615,AD,Disease,AD094007; AD094008; AD094008; AD094009,Drosophila melanogaster,Head,no data,Male,no data available,30,30 days,3119795,10X Genomics,Single-nucleus RNA sequencing,hTau,
AD094027,GSM8148103,,40381615,AD,Disease,AD094010; AD094011; AD094012,Drosophila melanogaster,Body,no data,Male,no data available,20,20 days,2893382,10X Genomics,Single-nucleus RNA sequencing,hTau,
AD094028,GSM8148104,,40381615,AD,Disease,AD094010; AD094011; AD094012,Drosophila melanogaster,Body,no data,Male,no data available,30,30 days,2012477,10X Genomics,Single-nucleus RNA sequencing,hTau,
AD096001,GSM8147266,,40026671,AD,Disease,AD096003; AD096007; AD096011,Mouse,Left Hippocampus,no data,Female,no data available,6m,6 months,14200,10X Genomics,Single-nucleus RNA sequencing,3xTg-AD,
AD096002,GSM8147267,,40026671,AD,Disease,AD096004; AD096008; AD096012,Mouse,Left Hippocampus,no data,Female,no data available,12m,12 months,15159,10X Genomics,Single-nucleus RNA sequencing,3xTg-AD,
AD096003,GSM8147268,,40026671,AD,Healthy,,Mouse,Left Hippocampus,no data,Female,no data available,6m,6 months,12154,10X Genomics,Single-nucleus RNA sequencing,wt,
AD096004,GSM8147269,,40026671,AD,Healthy,,Mouse,Left Hippocampus,no data,Female,no data available,12m,12 months,18205,10X Genomics,Single-nucleus RNA sequencing,wt,
AD096005,GSM8147270,,40026671,AD,Disease,AD096003; AD096007; AD096011,Mouse,Left Hippocampus,no data,Female,no data available,6m,6 months,15897,10X Genomics,Single-nucleus RNA sequencing,3xTg-AD,
AD096006,GSM8147271,,40026671,AD,Disease,AD096004; AD096008; AD096012,Mouse,Left Hippocampus,no data,Female,no data available,12m,12 months,15765,10X Genomics,Single-nucleus RNA sequencing,3xTg-AD,
AD096007,GSM8147272,,40026671,AD,Healthy,,Mouse,Left Hippocampus,no data,Female,no data available,6m,6 months,16040,10X Genomics,Single-nucleus RNA sequencing,wt,
AD096008,GSM8147273,,40026671,AD,Healthy,,Mouse,Left Hippocampus,no data,Female,no data available,12m,12 months,13268,10X Genomics,Single-nucleus RNA sequencing,wt,
AD096009,GSM8147274,,40026671,AD,Disease,AD096003; AD096007; AD096011,Mouse,Left Hippocampus,no data,Female,no data available,6m,6 months,17907,10X Genomics,Single-nucleus RNA sequencing,3xTg-AD,
AD096010,GSM8147275,,40026671,AD,Disease,AD096004; AD096008; AD096012,Mouse,Left Hippocampus,no data,Female,no data available,12m,12 months,19846,10X Genomics,Single-nucleus RNA sequencing,3xTg-AD,
AD096011,GSM8147277,,40026671,AD,Healthy,,Mouse,Left Hippocampus,no data,Female,no data available,6m,6 months,15834,10X Genomics,Single-nucleus RNA sequencing,wt,
AD096012,GSM8147278,,40026671,AD,Healthy,,Mouse,Left Hippocampus,no data,Female,no data available,12m,12 months,11368,10X Genomics,Single-nucleus RNA sequencing,wt,
AD099001,GSM7951587,,38352874,AD,Healthy,,Mouse,Whole Brain,no data,no data,no data,3m,3 months,7562,10X Genomics,Single-cell RNA sequencing,wt,
AD099002,GSM7951588,,38352874,AD,Disease,,Mouse,Whole Brain,no data,no data,no data,3m,3 months,6241,10X Genomics,Single-cell RNA sequencing,NLRP3.KO,
AD099003,GSM7951589,,38352874,AD,Disease,,Mouse,Whole Brain,no data,no data,no data,3m,3 months,3363,10X Genomics,Single-cell RNA sequencing,APP/PS1,
AD099004,GSM7951590,,38352874,AD,Disease,,Mouse,Whole Brain,no data,no data,no data,3m,3 months,9112,10X Genomics,Single-cell RNA sequencing,APP/PS1,
AD099005,GSM7951591,,38352874,AD,Healthy,,Mouse,Whole Brain,no data,no data,no data,6m,6 months,4217,10X Genomics,Single-cell RNA sequencing,wt,
AD099006,GSM7951592,,38352874,AD,Disease,AD099005,Mouse,Whole Brain,no data,no data,no data,6m,6 months,4216,10X Genomics,Single-cell RNA sequencing,NLRP3.KO,
AD099007,GSM7951593,,38352874,AD,Healthy,,Mouse,Whole Brain,no data,no data,no data,9m,9 months,2589,10X Genomics,Single-cell RNA sequencing,wt,
AD099008,GSM7951594,,38352874,AD,Disease,AD099007,Mouse,Whole Brain,no data,no data,no data,9m,9 months,2914,10X Genomics,Single-cell RNA sequencing,NLRP3.KO,
AD099009,GSM7951595,,38352874,AD,Disease,AD099007,Mouse,Whole Brain,no data,no data,no data,9m,9 months,3035,10X Genomics,Single-cell RNA sequencing,APP/PS1,
AD099010,GSM7951596,,38352874,AD,Disease,AD099007,Mouse,Whole Brain,no data,no data,no data,9m,9 months,2223,10X Genomics,Single-cell RNA sequencing,APP/PS1,
AD100017,GSM8439438,,40570367,AD,Healthy,no cytokines,Human,iPSC THP-1 macrophages,non-treated,Male,no data available,1 year,1 years,5234,10X Genomics,Single-cell RNA sequencing,iTHP-1;no cytokines (Human THP-1 monocytic leukemia line differentiated to macrophages),
AD100018,GSM8439439,,40570367,AD,Healthy,no cytokines,Human,iPSC THP-1 macrophages,non-treated,Male,no data available,1 year,1 years,9000,10X Genomics,Single-cell RNA sequencing,THP-1;no cytokines (Human THP-1 monocytic leukemia line differentiated to macrophages),
AD100019,GSM8439440,,40570367,AD,Disease,AD100017; AD100018 MIX treatment,Human,iPSC THP-1 macrophages,MIX,Male,no data available,1 year,1 years,9343,10X Genomics,Single-cell RNA sequencing,THP-1;MIX（IL34 + MCSF + TGFβ + IL4）(Human THP-1 monocytic leukemia line differentiated to macrophages),
AD100020,GSM8439441,,40570367,AD,Disease,AD100017; AD100018 MIX treatment,Human,iPSC THP-1 macrophages,MIX,Male,no data available,1 year,1 years,10953,10X Genomics,Single-cell RNA sequencing,THP-1;MIX（IL34 + MCSF + TGFβ + IL4）(Human THP-1 monocytic leukemia line differentiated to macrophages),
AD101001,GSM8399625,,40264187,AD,Healthy,,Mouse,Hippocampus,Vehicle (10%PEG-400 in H2O),Female,no data available,9.5 months old,9.5 months,13348,10X Genomics,Single-nucleus RNA sequencing,wt,
AD101002,GSM8399626,,40264187,AD,Healthy,,Mouse,Hippocampus,Vehicle (10%PEG-400 in H2O),Male,no data available,9.5 months old,9.5 months,14174,10X Genomics,Single-nucleus RNA sequencing,wt,
AD101003,GSM8399627,,40264187,AD,Healthy,,Mouse,Hippocampus,TPPU 3mg/kg for 12 weeks,Female,no data available,9.5 months old,9.5 months,11159,10X Genomics,Single-nucleus RNA sequencing,wt,
AD101004,GSM8399628,,40264187,AD,Healthy,,Mouse,Hippocampus,TPPU 3mg/kg for 12 weeks,Male,no data available,9.5 months old,9.5 months,11854,10X Genomics,Single-nucleus RNA sequencing,wt,
AD101005,GSM8399629,,40264187,AD,Disease,AD101001; AD101002,Mouse,Hippocampus,Vehicle (10%PEG-400 in H2O),Female,no data available,9.5 months old,9.5 months,2780,10X Genomics,Single-nucleus RNA sequencing,PS19,
AD101006,GSM8399630,,40264187,AD,Disease,AD101001; AD101002,Mouse,Hippocampus,Vehicle (10%PEG-400 in H2O),Male,no data available,9.5 months old,9.5 months,13291,10X Genomics,Single-nucleus RNA sequencing,PS19,
AD101007,GSM8399631,,40264187,AD,Disease,AD101003; AD101004,Mouse,Hippocampus,TPPU 3mg/kg for 12 weeks,Female,no data available,9.5 months old,9.5 months,8935,10X Genomics,Single-nucleus RNA sequencing,PS19,
AD101008,GSM8399632,,40264187,AD,Disease,AD101003; AD101004,Mouse,Hippocampus,TPPU 3mg/kg for 12 weeks,Male,no data available,9.5 months old,9.5 months,11734,10X Genomics,Single-nucleus RNA sequencing,PS19,
AD104001,GSM8395395,,40275379,AD,Healthy,,Human,iPSC - MinusMicroglia,scrambled Aβ1-42 for 3 weeks,Female,no data available,no data,,8484,10X Genomics,Single-nucleus RNA sequencing,hiPSC (KOLF2.1J),
AD104002,GSM8395396,,40275379,AD,Healthy,,Human,iPSC - PlusMicroglia,scrambled Aβ1-42 for 3 weeks,Female,no data available,no data,,6493,10X Genomics,Single-nucleus RNA sequencing,hiPSC (KOLF2.1J),
AD104003,GSM8395397,,40275379,AD,Disease,AD104001; AD104002,Human,iPSC - MinusMicroglia,Aβ1-42 synthetic Aβ for 3 weeks,Female,no data available,3 weeks,3 weeks,4872,10X Genomics,Single-nucleus RNA sequencing,hiPSC (KOLF2.1J),
AD104004,GSM8395398,,40275379,AD,Disease,AD104001; AD104002,Human,iPSC - PlusMicroglia,Aβ1-42 synthetic Aβ for 3 weeks,Female,no data available,3 weeks,3 weeks,4711,10X Genomics,Single-nucleus RNA sequencing,hiPSC (KOLF2.1J),
AD104005,GSM8395399,,40275379,AD,Disease,,Human,iPSC - MinusMicroglia,Aβ1-42 synthetic Aβ for 5 weeks,Female,no data available,5 weeks,5 weeks,451,10X Genomics,Single-nucleus RNA sequencing,hiPSC (KOLF2.1J),
AD104006,GSM8395400,,40275379,AD,Disease,,Human,iPSC - PlusMicroglia,Aβ1-42 synthetic Aβ for 5 weeks,Female,no data available,5 weeks,5 weeks,3077,10X Genomics,Single-nucleus RNA sequencing,hiPSC (KOLF2.1J),
AD105001,,,39048816,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Male,,"(80,85]",80 - 85 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105002,,,39048816,AD,Healthy,,Human,Combined ,,Male,,"(85,90]",85 - 90 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105003,,,39048816,AD,Healthy,,Human,Combined ,,Female,,"(80,85]",80 - 85 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105004,,,39048816,AD,Healthy,,Human,Combined ,,Male,,"(75,80]",75 - 80 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105005,,,39048816,AD,Healthy,,Human,Combined ,,Female,,90+,90+,,10X Genomics,Single-nucleus RNA sequencing,,
AD105006,,,39048816,AD,Healthy,,Human,Combined ,,Female,,"(80,85]",80 - 85 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105007,,,39048816,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Female,,"(80,85]",80 - 85 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105008,,,39048816,AD,Healthy,,Human,Combined ,,Male,,"(80,85]",80 - 85 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105009,,,39048816,AD,Healthy,,Human,Combined ,,Female,,90+,90+,,10X Genomics,Single-nucleus RNA sequencing,,
AD105010,,,39048816,AD,Healthy,,Human,Combined ,,Male,,"(80,85]",80 - 85 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105011,,,39048816,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Male,,"(80,85]",80 - 85 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105012,,,39048816,AD,Healthy,,Human,Combined ,,Male,,"(75,80]",75 - 80 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105013,,,39048816,AD,Healthy,,Human,Combined ,,Female,,"(85,90]",85 - 90 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105014,,,39048816,AD,Healthy,,Human,Combined ,,Male,,90+,90+,,10X Genomics,Single-nucleus RNA sequencing,,
AD105015,,,39048816,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Male,,"(85,90]",85 - 90 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105016,,,39048817,AD,Healthy,,Human,Combined ,,Female,,90+,90+,,10X Genomics,Single-nucleus RNA sequencing,,
AD105017,,,39048818,AD,Healthy,,Human,Combined ,,Male,,"(85,90]",85 - 90 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105018,,,39048819,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Female,,"(85,90]",85 - 90 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105019,,,39048820,AD,Healthy,,Human,Combined ,,Male,,"(75,80]",75 - 80 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105020,,,39048821,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Male,,"(80,85]",80 - 85 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105021,,,39048822,AD,Healthy,,Human,Combined ,,Female,,"(85,90]",85 - 90 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105022,,,39048823,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Female,,"(75,80]",75 - 80 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105023,,,39048824,AD,Healthy,,Human,Combined ,,Female,,90+,90+,,10X Genomics,Single-nucleus RNA sequencing,,
AD105024,,,39048825,AD,Healthy,,Human,Combined ,,Female,,90+,90+,,10X Genomics,Single-nucleus RNA sequencing,,
AD105025,,,39048826,AD,Healthy,,Human,Combined ,,Male,,"(85,90]",85 - 90 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105026,,,39048827,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Female,,"(85,90]",85 - 90 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105027,,,39048828,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Female,,"(80,85]",80 - 85 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105028,,,39048829,AD,Healthy,,Human,Combined ,,Male,,90+,90+,,10X Genomics,Single-nucleus RNA sequencing,,
AD105029,,,39048830,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Male,,"(75,80]",75 - 80 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105030,,,39048831,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Male,,"(85,90]",85 - 90 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105031,,,39048832,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Female,,"(80,85]",80 - 85 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105032,,,39048833,AD,Healthy,,Human,Combined ,,Female,,"(75,80]",75 - 80 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105033,,,39048834,AD,Healthy,,Human,Combined ,,Male,,"(75,80]",75 - 80 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105034,,,39048835,AD,Healthy,,Human,Combined ,,Male,,"(80,85]",80 - 85 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105035,,,39048836,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Female,,"(85,90]",85 - 90 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105036,,,39048837,AD,Healthy,,Human,Combined ,,Female,,"(75,80]",75 - 80 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105037,,,39048838,AD,Healthy,,Human,Combined ,,Female,,90+,90+,,10X Genomics,Single-nucleus RNA sequencing,,
AD105038,,,39048839,AD,Healthy,,Human,Combined ,,Female,,90+,90+,,10X Genomics,Single-nucleus RNA sequencing,,
AD105039,,,39048840,AD,Healthy,,Human,Combined ,,Female,,"(75,80]",75 - 80 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105040,,,39048841,AD,Healthy,,Human,Combined ,,Male,,90+,90+,,10X Genomics,Single-nucleus RNA sequencing,,
AD105041,,,39048842,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Female,,"(80,85]",80 - 85 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105042,,,39048843,AD,Healthy,,Human,Combined ,,Male,,90+,90+,,10X Genomics,Single-nucleus RNA sequencing,,
AD105043,,,39048844,AD,Healthy,,Human,Combined ,,Male,,"(85,90]",85 - 90 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105044,,,39048845,AD,Healthy,,Human,Combined ,,Male,,"(85,90]",85 - 90 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105045,,,39048846,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Female,,"(75,80]",75 - 80 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105046,,,39048847,AD,Disease,AD105002; AD105003; AD105004; AD105005; AD105006; AD105008; AD105009; AD105010; AD105012; AD105013; AD105014; AD105016; AD105017; AD105019; AD105021; AD105023; AD105024; AD105028; AD105032; AD105033; AD105034; AD105036; AD105037; AD105038; AD105039; AD105040; AD105042; AD105043; AD105044; AD105047; AD105048,Human,Combined ,,Male,,"(85,90]",85 - 90 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105047,,,39048848,AD,Healthy,,Human,Combined ,,Female,,"(85,90]",85 - 90 years,,10X Genomics,Single-nucleus RNA sequencing,,
AD105048,,,39048849,AD,Healthy,,Human,Combined ,,Male,,90+,90+,,10X Genomics,Single-nucleus RNA sequencing,,
AD107001,191122-B6-R1969233-alone,,39641382,AD,no data available,,Human,Dorsolateral Prefrontal Cortex,no data available,Mixed,no data available,no data available,no data available,8789,unkown,Single-nucleus RNA sequencing,,
AD107002,200715-B35-A,,39641382,AD,no data available,,Human,Dorsolateral Prefrontal Cortex,no data available,Mixed,no data available,no data available,no data available,63753,unkown,Single-nucleus RNA sequencing,,
AD107003,200316-B24-B,,39641382,AD,no data available,,Human,Dorsolateral Prefrontal Cortex,no data available,Mixed,no data available,no data available,no data available,64789,unkown,Single-nucleus RNA sequencing,,
AD107004,200707-B30-A,,39641382,AD,no data available,,Human,Dorsolateral Prefrontal Cortex,no data available,Mixed,no data available,no data available,no data available,73792,unkown,Single-nucleus RNA sequencing,,
AD107005,200729-B40-A,,39641382,AD,no data available,,Human,Dorsolateral Prefrontal Cortex,no data available,Mixed,no data available,no data available,no data available,58122,unkown,Single-nucleus RNA sequencing,,
AD107006,200312-B21-B,,39641382,AD,no data available,,Human,Dorsolateral Prefrontal Cortex,no data available,Mixed,no data available,no data available,no data available,67617,unkown,Single-nucleus RNA sequencing,,
AD107007,200309-B17-B,,39641382,AD,no data available,,Human,Dorsolateral Prefrontal Cortex,no data available,Mixed,no data available,no data available,no data available,62028,unkown,Single-nucleus RNA sequencing,,
AD107008,191213-B7-B,,39641382,AD,no data available,,Human,Dorsolateral Prefrontal Cortex,no data available,Mixed,no data available,no data available,no data available,26196,unkown,Single-nucleus RNA sequencing,,
AD107009,191213-B7-A,,39641382,AD,no data available,,Human,Dorsolateral Prefrontal Cortex,no data available,Mixed,no data available,no data available,no data available,24695,unkown,Single-nucleus RNA sequencing,,
AD107010,200810-B45-B,,39641382,AD,no data available,,Human,Dorsolateral Prefrontal Cortex,no data available,Mixed,no data available,no data available,no data available,74887,unkown,Single-nucleus RNA sequencing,,
