Dataset_id,Public_dataset_id,Pubmed_id,Disease,Status,Control,Species,Brain_region,Sex,Stage,Age,N_cells,Protocol,Methodology,Model
AD086003,GSM7054711,38902234,AD,Disease,Tg(her4.1:dRED); Tg(kdrl:GFP); AD086002,Zebrafish,temporal cortex,Mixed,no data available,no data available,3830,10x Genomics,Single-nucleus RNA sequencing,Tg(her4.1:dRED); Tg(kdrl:GFP)
AD086004,GSM7054712,38902234,AD,Healthy,Tg(fli1a:GFP),Zebrafish,temporal cortex,Mixed,no data available,no data available,2960,10x Genomics,Single-nucleus RNA sequencing,Tg(fli1a:GFP)
AD086005,GSM7054713,38902234,AD,Healthy,Tg(her4.1:dRED),Zebrafish,temporal cortex,Mixed,no data available,no data available,8560,10x Genomics,Single-nucleus RNA sequencing,Tg(her4.1:dRED)
AD086006,GSM7054714,38902234,AD,Disease,Tg(fli1a:GFP); AD086004,Zebrafish,temporal cortex,Mixed,no data available,no data available,2299,10x Genomics,Single-nucleus RNA sequencing,Tg(fli1a:GFP)
AD086007,GSM7054715,38902234,AD,Disease,Tg(her4.1:dRED); AD086005,Zebrafish,temporal cortex,Mixed,no data available,no data available,5285,10x Genomics,Single-nucleus RNA sequencing,Tg(her4.1:dRED)
AD087001,GSM4886760,38472200,AD,Disease,AD087002; AD087005; AD087007; AD087009; AD087017; AD087018; AD087023; AD087035,Human,Somatosensory Cortex,Male,Braak 6,79,6518,10x Genomics,Single-nucleus RNA sequencing,
AD087002,GSM4886762,38472200,AD,non-ND control,,Human,Somatosensory Cortex,Male,Braak 1,74,7863,10x Genomics,Single-nucleus RNA sequencing,
AD087003,GSM4886761,38472200,AD,Disease,AD087004; AD087010; AD087016; AD087019; AD087020; AD087022; AD087030; AD087036,Human,Entorhinal Cortex,Male, Braak 6,79,4699,10x Genomics,Single-nucleus RNA sequencing,
AD087004,GSM8010381,38472200,AD,non-ND control,,Human,Entorhinal Cortex,Male,Braak 0,92,6967,10x Genomics,Single-nucleus RNA sequencing,
AD087005,GSM8010381,38472200,AD,non-ND control,,Human,Somatosensory Cortex,Male,Braak 0,92,6473,10x Genomics,Single-nucleus RNA sequencing,
AD087006,GSM8010381,38472200,AD,Disease,AD087004; AD087010; AD087016; AD087019; AD087020; AD087022; AD087030; AD087036,Human,Entorhinal Cortex,Female,Braak 3,92,5979,10x Genomics,Single-nucleus RNA sequencing,
AD087007,GSM8010381,38472200,AD,non-ND control,AD087004; AD087010; AD087016; AD087019; AD087020; AD087022; AD087030; AD087036,Human,Somatosensory Cortex,Female,Braak 2,76,5688,10x Genomics,Single-nucleus RNA sequencing,
AD087008,GSM4886747,38472200,AD,Disease,AD087004; AD087010; AD087016; AD087019; AD087020; AD087022; AD087030; AD087036,Human,Entorhinal Cortex,Female,Braak 3,68,5694,10x Genomics,Single-nucleus RNA sequencing,
AD087009,GSM4886764,38472200,AD,non-ND control,,Human,Somatosensory Cortex,Female,Braak 2,91,5932,10x Genomics,Single-nucleus RNA sequencing,
AD087010,GSM8010381,38472200,AD,non-ND control,,Human,Entorhinal Cortex,Female,Braak 2,76,5096,10x Genomics,Single-nucleus RNA sequencing,
AD087011,GSM4886753,38472200,AD,Disease,AD087002; AD087005; AD087007; AD087009; AD087017; AD087018; AD087023; AD087035,Human,Somatosensory Cortex,Female,Braak 5,85,3957,10x Genomics,Single-nucleus RNA sequencing,
AD087012,GSM4886752,38472200,AD,Disease,AD087002; AD087005; AD087007; AD087009; AD087017; AD087018; AD087023; AD087035,Human,Somatosensory Cortex,Male,Braak 3,83,3859,10x Genomics,Single-nucleus RNA sequencing,
AD087013,GSM4886749,38472200,AD,Disease,AD087002; AD087005; AD087007; AD087009; AD087017; AD087018; AD087023; AD087035,Human,Somatosensory Cortex,Male,Braak 5,83,3341,10x Genomics,Single-nucleus RNA sequencing,
AD087014,GSM8010381,38472200,AD,Disease,AD087002; AD087005; AD087007; AD087009; AD087017; AD087018; AD087023; AD087035,Human,Somatosensory Cortex,Female,Braak 5,85,4740,10x Genomics,Single-nucleus RNA sequencing,
AD087015,GSM8010381,38472200,AD,Disease,AD087002; AD087005; AD087007; AD087009; AD087017; AD087018; AD087023; AD087035,Human,Somatosensory Cortex,Female,Braak 3,92,4565,10x Genomics,Single-nucleus RNA sequencing,
AD087016,GSM4886754,38472200,AD,non-ND control,,Human,Entorhinal Cortex,Male,Braak 0,77,4409,10x Genomics,Single-nucleus RNA sequencing,
AD087017,GSM4886766,38472200,AD,non-ND control,,Human,Somatosensory Cortex,Female,Braak 1,80,2349,10x Genomics,Single-nucleus RNA sequencing,
AD087018,GSM8010381,38472200,AD,non-ND control,,Human,Somatosensory Cortex,Female,Braak 2,92,4136,10x Genomics,Single-nucleus RNA sequencing,
AD087019,GSM4886759,38472200,AD,non-ND control,,Human,Entorhinal Cortex,Male,Braak 1,74,3501,10x Genomics,Single-nucleus RNA sequencing,
AD087020,GSM4886765,38472200,AD,non-ND control,,Human,Entorhinal Cortex,Female,Braak 1,80,2295,10x Genomics,Single-nucleus RNA sequencing,
AD087021,GSM4886748,38472200,AD,Disease,AD087002; AD087005; AD087007; AD087009; AD087017; AD087018; AD087023; AD087035,Human,Somatosensory Cortex,Male,Braak 4,87,3492,10x Genomics,Single-nucleus RNA sequencing,
AD087022,GSM4886763,38472200,AD,non-ND control,,Human,Entorhinal Cortex,Female,Braak 2,91,5914,10x Genomics,Single-nucleus RNA sequencing,
AD087023,GSM4886743,38472200,AD,non-ND control,,Human,Somatosensory Cortex,Male,Braak 0,73,4072,10x Genomics,Single-nucleus RNA sequencing,
AD087024,GSM4886751,38472200,AD,Disease,AD087004; AD087010; AD087016; AD087019; AD087020; AD087022; AD087030; AD087036,Human,Entorhinal Cortex,Male,Braak 5,83,3968,10x Genomics,Single-nucleus RNA sequencing,
AD087025,GSM4886758,38472200,AD,non-ND control,,Human,Entorhinal Cortex,Male,Braak 1,81,2531,10x Genomics,Single-nucleus RNA sequencing,
AD087026,GSM4886755,38472200,AD,Disease,AD087004; AD087010; AD087016; AD087019; AD087020; AD087022; AD087030; AD087036,Human,Entorhinal Cortex,Male,Braak 3,83,3526,10x Genomics,Single-nucleus RNA sequencing,
AD087027,GSM4886744,38472200,AD,non-ND control,,Human,Somatosensory Cortex,Male,Braak 0,77,6037,10x Genomics,Single-nucleus RNA sequencing,
AD087028,GSM8010381,38472200,AD,Disease,AD087002; AD087005; AD087007; AD087009; AD087017; AD087018; AD087023; AD087035,Human,Somatosensory Cortex,Female,Braak 6,90,2146,10x Genomics,Single-nucleus RNA sequencing,
AD087029,GSM4886745,38472200,AD,Disease,AD087002; AD087005; AD087007; AD087009; AD087017; AD087018; AD087023; AD087035,Human,Somatosensory Cortex,Female,Braak 3,68,4256,10x Genomics,Single-nucleus RNA sequencing,
AD087030,GSM4886746,38472200,AD,non-ND control,,Human,Entorhinal Cortex,Male,Braak 0,73,2828,10x Genomics,Single-nucleus RNA sequencing,
AD087031,GSM8010381,38472200,AD,Disease,AD087004; AD087010; AD087016; AD087019; AD087020; AD087022; AD087030; AD087036,Human,Entorhinal Cortex,Female,Braak 5,85,1739,10x Genomics,Single-nucleus RNA sequencing,
AD087032,GSM8010381,38472200,AD,Disease,AD087004; AD087010; AD087016; AD087019; AD087020; AD087022; AD087030; AD087036,Human,Entorhinal Cortex,Female,Braak 6,90,1742,10x Genomics,Single-nucleus RNA sequencing,
AD087033,GSM4886756,38472200,AD,Disease,AD087004; AD087010; AD087016; AD087019; AD087020; AD087022; AD087030; AD087036,Human,Entorhinal Cortex,Female,Braak 5,85,2066,10x Genomics,Single-nucleus RNA sequencing,
AD087034,GSM4886750,38472200,AD,Disease,AD087004; AD087010; AD087016; AD087019; AD087020; AD087022; AD087030; AD087036,Human,Entorhinal Cortex,Male,Braak 4,87,1711,10x Genomics,Single-nucleus RNA sequencing,
AD087035,GSM4886757,38472200,AD,non-ND control,,Human,Somatosensory Cortex,Male,Braak 1,81,2413,10x Genomics,Single-nucleus RNA sequencing,
AD087036,GSM8010381,38472200,AD,non-ND control,,Human,Entorhinal Cortex,Female,Braak 2,92,997,10x Genomics,Single-nucleus RNA sequencing,
AD088001,GSM7510285,40093585,AD,Healthy,Control,Tupaia belangeri,Hippocampus,no data available,no data available,5–6 years,8206,10x Genomics,Single-nucleus RNA sequencing,
AD088002,GSM7510286,40093585,AD,Healthy,Control,Tupaia belangeri,Hippocampus,no data available,no data available,5–6 years,2440,10x Genomics,Single-nucleus RNA sequencing,
AD088003,GSM7510287,40093585,AD,Healthy,Control,Tupaia belangeri,Hippocampus,no data available,no data available,5–6 years,7091,10x Genomics,Single-nucleus RNA sequencing,
AD088004,GSM7510288,40093585,AD,Disease,AD088001;AD088002; AD088003 Alzheimer's‐like pathology,Tupaia belangeri,Hippocampus,no data available,no data available,5–6 years,4776,10x Genomics,Single-nucleus RNA sequencing,
AD088005,GSM7510289,40093585,AD,Disease,AD088001;AD088002; AD088003 Alzheimer's‐like pathology,Tupaia belangeri,Hippocampus,no data available,no data available,5–6 years,6564,10x Genomics,Single-nucleus RNA sequencing,
AD088006,GSM7510290,40093585,AD,Disease,AD088001;AD088002; AD088003 Alzheimer's‐like pathology,Tupaia belangeri,Hippocampus,no data available,no data available,5–6 years,5315,10x Genomics,Single-nucleus RNA sequencing,
AD089001,GSM8077099,38918830,AD,Healthy,Control,Mouse,Whole Blood,Female,no data available,7 month old,16234,10x Genomics,Single-nucleus RNA sequencing,wt
AD089002,GSM8077100,38918830,AD,Disease,AD089001 AD,Mouse,Whole Blood,Female,no data available,7 month old,16234,10x Genomics,Single-nucleus RNA sequencing,app/ps1
AD090001,GSM7431053,38347225,AD,Healthy,,Mouse,Whole brain,Male,no data available,15 month,40027,10x Genomics,Single-cell RNA sequencing,wt
AD090002,GSM7431054,38347225,AD,Healthy,,Mouse,Whole brain,Female,no data available,15 month,62851,10x Genomics,Single-cell RNA sequencing,wt
AD090003,GSM7431055,38347225,AD,Healthy,,Mouse,Whole brain,Female,no data available,15 month,31248,10x Genomics,Single-cell RNA sequencing,wt
AD090004,GSM7431056,38347225,AD,Disease,AD090001,Mouse,Whole brain,Male,no data available,15 month,40871,10x Genomics,Single-cell RNA sequencing,BRI2 knock out
AD090005,GSM7431057,38347225,AD,Disease,AD090001,Mouse,Whole brain,Male,no data available,15 month,28889,10x Genomics,Single-cell RNA sequencing,BRI2 knock out
AD090006,GSM7431058,38347225,AD,Disease,AD090002; AD090003,Mouse,Whole brain,Female,no data available,15 month,45627,10x Genomics,Single-cell RNA sequencing,BRI2 knock out
AD090007,GSM7431059,38347225,AD,Disease,AD090002; AD090003,Mouse,Whole brain,Female,no data available,15 month,34096,10x Genomics,Single-cell RNA sequencing,BRI2 knock out
AD090008,GSM7431060,38347225,AD,Disease,AD090001,Mouse,Whole brain,Male,no data available,15 month,59894,10x Genomics,Single-cell RNA sequencing,TREM2 knock out
AD090009,GSM7431061,38347225,AD,Disease,AD090002; AD090003,Mouse,Whole brain,Female,no data available,15 month,51976,10x Genomics,Single-cell RNA sequencing,TREM2 knock out
AD090010,GSM7431062,38347225,AD,Disease,AD090001,Mouse,Whole brain,Male,no data available,15 month,50203,10x Genomics,Single-cell RNA sequencing,BRI2 knock out;TREM2 knock out
AD090011,GSM7431063,38347225,AD,Disease,AD090002; AD090003,Mouse,Whole brain,Female,no data available,15 month,39877,10x Genomics,Single-cell RNA sequencing,BRI2 knock out;TREM2 knock out
AD091002,GSM7812883,39308178,AD,Disease,,Mouse,frontal cortex,Mixed,no data available,16m,8077,10x Genomics,Single-cell RNA sequencing,SwDI/TKO
AD091003,GSM7812884,39308178,AD,Disease,,Mouse,frontal cortex,Mixed,no data available,16m,7024,10x Genomics,Single-cell RNA sequencing,SwDI/TWT
AD091004,GSM7812885,39308178,AD,Disease,,Mouse,frontal cortex,Mixed,no data available,16m,6493,10x Genomics,Single-cell RNA sequencing,SwDI/TWT
AD091005,GSM7812886,39308178,AD,Disease,,Mouse,frontal cortex,Mixed,no data available,16m,5175,10x Genomics,Single-cell RNA sequencing,SwDI/TKO
AD091006,GSM7812887,39308178,AD,Disease,,Mouse,frontal cortex,Mixed,no data available,16m,6393,10x Genomics,Single-cell RNA sequencing,SwDI/TKO
AD091007,GSM7812882,39308178,AD,Disease,,Mouse,frontal cortex,Mixed,no data available,16m,6231,10x Genomics,Single-cell RNA sequencing,SwDI/TWT
AD093001,GSM7646113,40112813,AD,Disease,AD093004; AD093005; AD093006,Human,Temporal Cortex,Male,no data available,no data available,8343,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093002,GSM7646114,40112813,AD,Disease,AD093004; AD093005; AD093006,Human,Temporal Cortex,Male,no data available,no data available,8697,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093003,GSM7646115,40112813,AD,Disease,AD093004; AD093005; AD093006,Human,Temporal Cortex,Male,no data available,no data available,4922,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD093004,GSM7646116,40112813,AD,Healthy,control,Human,Temporal Cortex,Male,no data available,no data available,6298,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093005,GSM7646117,40112813,AD,Healthy,control,Human,Temporal Cortex,Male,no data available,no data available,7583,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093006,GSM7646118,40112813,AD,Healthy,control,Human,Temporal Cortex,Male,no data available,no data available,8724,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD093007,GSM7646119,40112813,AD,Disease,AD093010; AD093011,Human,Temporal Cortex,Female,no data available,no data available,8050,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093008,GSM7646120,40112813,AD,Disease,AD093010; AD093011,Human,Temporal Cortex,Female,no data available,no data available,8494,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093009,GSM7646121,40112813,AD,Disease,AD093010; AD093011,Human,Temporal Cortex,Female,no data available,no data available,8827,10x Genomics,Single-nucleus RNA sequencing,E4/E4
AD093010,GSM7646122,40112813,AD,Healthy,control,Human,Temporal Cortex,Female,no data available,no data available,7604,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093011,GSM7646123,40112813,AD,Healthy,control,Human,Temporal Cortex,Female,no data available,no data available,7795,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093012,GSM7646124,40112813,AD,Disease,AD093016; AD093017,Human,Temporal Cortex,Female,no data available,no data available,9956,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD093013,GSM7646125,40112813,AD,Disease,AD093016; AD093017,Human,Temporal Cortex,Male,no data available,no data available,8318,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093014,GSM7646126,40112813,AD,Disease,AD093016; AD093017,Human,Temporal Cortex,Male,no data available,no data available,6506,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093015,GSM7646127,40112813,AD,Disease,AD093016; AD093017,Human,Temporal Cortex,Male,no data available,no data available,9721,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD093016,GSM7646128,40112813,AD,Healthy,control,Human,Temporal Cortex,Male,no data available,no data available,9474,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093017,GSM7646129,40112813,AD,Healthy,control,Human,Temporal Cortex,Male,no data available,no data available,10303,10x Genomics,Single-nucleus RNA sequencing,E4/E4
AD093018,GSM7646130,40112813,AD,Disease,AD093021; AD093022; AD093023,Human,Temporal Cortex,Female,no data available,no data available,11340,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093019,GSM7646131,40112813,AD,Disease,AD093021; AD093022; AD093023,Human,Temporal Cortex,Female,no data available,no data available,11029,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093020,GSM7646132,40112813,AD,Disease,AD093021; AD093022; AD093023,Human,Temporal Cortex,Female,no data available,no data available,13736,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD093021,GSM7646133,40112813,AD,Healthy,control,Human,Temporal Cortex,Female,no data available,no data available,10064,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093022,GSM7646134,40112813,AD,Healthy,control,Human,Temporal Cortex,Female,no data available,no data available,8856,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093023,GSM7646135,40112813,AD,Healthy,control,Human,Temporal Cortex,Female,no data available,no data available,11428,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD093024,GSM7646136,40112813,AD,Disease,AD093026; AD093027; AD093028,Human,Temporal Cortex,Male,no data available,no data available,11398,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093025,GSM7646137,40112813,AD,Disease,AD093026; AD093027; AD093028,Human,Temporal Cortex,Male,no data available,no data available,11708,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD093026,GSM7646138,40112813,AD,Healthy,control,Human,Temporal Cortex,Male,no data available,no data available,10284,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093027,GSM7646139,40112813,AD,Healthy,control,Human,Temporal Cortex,Male,no data available,no data available,6524,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093028,GSM7646140,40112813,AD,Healthy,control,Human,Temporal Cortex,Male,no data available,no data available,10482,10x Genomics,Single-nucleus RNA sequencing,E4/E4
AD093029,GSM7646141,40112813,AD,Disease,AD093032; AD093033; AD093034,Human,Temporal Cortex,Female,no data available,no data available,9772,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093030,GSM7646142,40112813,AD,Disease,AD093032; AD093033; AD093034,Human,Temporal Cortex,Female,no data available,no data available,10573,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093031,GSM7646143,40112813,AD,Disease,AD093032; AD093033; AD093034,Human,Temporal Cortex,Female,no data available,no data available,5073,10x Genomics,Single-nucleus RNA sequencing,E4/E4
AD093032,GSM7646144,40112813,AD,Healthy,control,Human,Temporal Cortex,Female,no data available,no data available,9479,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093033,GSM7646145,40112813,AD,Healthy,control,Human,Temporal Cortex,Female,no data available,no data available,5872,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093034,GSM7646146,40112813,AD,Healthy,control,Human,Temporal Cortex,Female,no data available,no data available,6544,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD093035,GSM7646147,40112813,AD,Disease,AD093038; AD093039; AD093040,Human,Temporal Cortex,Male,no data available,no data available,6713,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093036,GSM7646148,40112813,AD,Disease,AD093038; AD093039; AD093040,Human,Temporal Cortex,Male,no data available,no data available,6406,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093037,GSM7646149,40112813,AD,Disease,AD093038; AD093039; AD093040,Human,Temporal Cortex,Male,no data available,no data available,6794,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD093038,GSM7646150,40112813,AD,Healthy,control,Human,Temporal Cortex,Male,no data available,no data available,9606,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093039,GSM7646151,40112813,AD,Healthy,control,Human,Temporal Cortex,Male,no data available,no data available,9550,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093040,GSM7646152,40112813,AD,Healthy,control,Human,Temporal Cortex,Male,no data available,no data available,4430,10x Genomics,Single-nucleus RNA sequencing,E4/E4
AD093041,GSM7646153,40112813,AD,Disease,AD093044; AD093045; AD093046,Human,Temporal Cortex,Female,no data available,no data available,7086,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093042,GSM7646154,40112813,AD,Disease,AD093044; AD093045; AD093046,Human,Temporal Cortex,Female,no data available,no data available,6356,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093043,GSM7646155,40112813,AD,Disease,AD093044; AD093045; AD093046,Human,Temporal Cortex,Female,no data available,no data available,9008,10x Genomics,Single-nucleus RNA sequencing,E4/E4
AD093044,GSM7646156,40112813,AD,Healthy,control,Human,Temporal Cortex,Female,no data available,no data available,7952,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093045,GSM7646157,40112813,AD,Healthy,control,Human,Temporal Cortex,Female,no data available,no data available,8099,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093046,GSM7646158,40112813,AD,Healthy,control,Human,Temporal Cortex,Female,no data available,no data available,5619,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD093047,GSM7646159,40112813,AD,Disease,AD093049; AD093050,Human,Temporal Cortex,Male,no data available,no data available,7246,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093048,GSM7646160,40112813,AD,Disease,AD093049; AD093050,Human,Temporal Cortex,Male,no data available,no data available,6712,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD093049,GSM7646161,40112813,AD,Healthy,control,Human,Temporal Cortex,Male,no data available,no data available,4600,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093050,GSM7646162,40112813,AD,Healthy,control,Human,Temporal Cortex,Male,no data available,no data available,7180,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093051,GSM7646163,40112813,AD,Disease,AD093053; AD093054; AD093055,Human,Temporal Cortex,Female,no data available,no data available,8099,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093052,GSM7646164,40112813,AD,Disease,AD093053; AD093054; AD093055,Human,Temporal Cortex,Female,no data available,no data available,8344,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD093053,GSM7646165,40112813,AD,Healthy,control,Human,Temporal Cortex,Female,no data available,no data available,7092,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD093054,GSM7646166,40112813,AD,Healthy,control,Human,Temporal Cortex,Female,no data available,no data available,6447,10x Genomics,Single-nucleus RNA sequencing,E3/E3
AD093055,GSM7646167,40112813,AD,Healthy,control,Human,Temporal Cortex,Female,no data available,no data available,3710,10x Genomics,Single-nucleus RNA sequencing,E3/E4
AD093056,GSM7646168,40112813,AD,Disease,AD093053; AD093054; AD093055,Human,Temporal Cortex,Male,no data available,no data available,4565,10x Genomics,Single-nucleus RNA sequencing,E2/E3
AD094001,GSM8148077,40381615,AD,Healthy,control,Drosophila melanogaster,Head,Female,no data available,10,156306,10x Genomics,Single-nucleus RNA sequencing,
AD094002,GSM8148078,40381615,AD,Healthy,control,Drosophila melanogaster,Head,Female,no data available,20,82921,10x Genomics,Single-nucleus RNA sequencing,
AD094003,GSM8148079,40381615,AD,Healthy,control,Drosophila melanogaster,Head,Female,no data available,30,59008,10x Genomics,Single-nucleus RNA sequencing,
AD094004,GSM8148080,40381615,AD,Healthy,control,Drosophila melanogaster,Body,Female,no data available,10,79246,10x Genomics,Single-nucleus RNA sequencing,
AD094005,GSM8148081,40381615,AD,Healthy,control,Drosophila melanogaster,Body,Female,no data available,20,48964,10x Genomics,Single-nucleus RNA sequencing,
AD094006,GSM8148082,40381615,AD,Healthy,control,Drosophila melanogaster,Body,Female,no data available,30,24799,10x Genomics,Single-nucleus RNA sequencing,
AD094007,GSM8148083,40381615,AD,Healthy,control,Drosophila melanogaster,Head,Male,no data available,10,75568,10x Genomics,Single-nucleus RNA sequencing,
AD094008,GSM8148084,40381615,AD,Healthy,control,Drosophila melanogaster,Head,Male,no data available,20,93688,10x Genomics,Single-nucleus RNA sequencing,
AD094009,GSM8148085,40381615,AD,Healthy,control,Drosophila melanogaster,Head,Male,no data available,30,70058,10x Genomics,Single-nucleus RNA sequencing,
AD094010,GSM8148086,40381615,AD,Healthy,control,Drosophila melanogaster,Body,Male,no data available,10,40316,10x Genomics,Single-nucleus RNA sequencing,
AD094011,GSM8148087,40381615,AD,Healthy,control,Drosophila melanogaster,Body,Male,no data available,20,23817,10x Genomics,Single-nucleus RNA sequencing,
AD094012,GSM8148088,40381615,AD,Healthy,control,Drosophila melanogaster,Body,Male,no data available,30,31700,10x Genomics,Single-nucleus RNA sequencing,
AD094013,GSM8148089,40381615,AD,Disease,AD094001; AD094002; AD094003,Drosophila melanogaster,Head,Female,no data available,10,144087,10x Genomics,Single-nucleus RNA sequencing,AB42
AD094014,GSM8148090,40381615,AD,Disease,AD094001; AD094002; AD094003,Drosophila melanogaster,Head,Female,no data available,20,35165,10x Genomics,Single-nucleus RNA sequencing,AB42
AD094015,GSM8148091,40381615,AD,Disease,AD094004; AD094005; AD094006,Drosophila melanogaster,Body,Female,no data available,10,71336,10x Genomics,Single-nucleus RNA sequencing,AB42
AD094016,GSM8148092,40381615,AD,Disease,AD094004; AD094005; AD094006,Drosophila melanogaster,Body,Female,no data available,20,32665,10x Genomics,Single-nucleus RNA sequencing,AB42
AD094017,GSM8148093,40381615,AD,Disease,AD094007; AD094008; AD094008; AD094009,Drosophila melanogaster,Head,Male,no data available,10,143443,10x Genomics,Single-nucleus RNA sequencing,AB42
AD094018,GSM8148094,40381615,AD,Disease,AD094007; AD094008; AD094008; AD094009,Drosophila melanogaster,Head,Male,no data available,20,41836,10x Genomics,Single-nucleus RNA sequencing,AB42
AD094019,GSM8148095,40381615,AD,Disease,AD094010; AD094011; AD094012,Drosophila melanogaster,Body,Male,no data available,10,38905,10x Genomics,Single-nucleus RNA sequencing,AB42
AD094020,GSM8148096,40381615,AD,Disease,AD094010; AD094011; AD094012,Drosophila melanogaster,Body,Male,no data available,20,21013,10x Genomics,Single-nucleus RNA sequencing,AB42
AD094021,GSM8148097,40381615,AD,Disease,AD094001; AD094002; AD094003,Drosophila melanogaster,Head,Female,no data available,20,136534,10x Genomics,Single-nucleus RNA sequencing,hTau
AD094022,GSM8148098,40381615,AD,Disease,AD094001; AD094002; AD094003,Drosophila melanogaster,Head,Female,no data available,30,34837,10x Genomics,Single-nucleus RNA sequencing,hTau
AD094023,GSM8148099,40381615,AD,Disease,AD094004; AD094005; AD094006,Drosophila melanogaster,Body,Female,no data available,20,99967,10x Genomics,Single-nucleus RNA sequencing,hTau
AD094024,GSM8148100,40381615,AD,Disease,AD094004; AD094005; AD094006,Drosophila melanogaster,Body,Female,no data available,30,24606,10x Genomics,Single-nucleus RNA sequencing,hTau
AD094025,GSM8148101,40381615,AD,Disease,AD094007; AD094008; AD094008; AD094009,Drosophila melanogaster,Head,Male,no data available,20,42683,10x Genomics,Single-nucleus RNA sequencing,hTau
AD094026,GSM8148102,40381615,AD,Disease,AD094007; AD094008; AD094008; AD094009,Drosophila melanogaster,Head,Male,no data available,30,66621,10x Genomics,Single-nucleus RNA sequencing,hTau
AD094027,GSM8148103,40381615,AD,Disease,AD094010; AD094011; AD094012,Drosophila melanogaster,Body,Male,no data available,20,85200,10x Genomics,Single-nucleus RNA sequencing,hTau
AD094028,GSM8148104,40381615,AD,Disease,AD094010; AD094011; AD094012,Drosophila melanogaster,Body,Male,no data available,30,18394,10x Genomics,Single-nucleus RNA sequencing,hTau
AD096001,GSM8147266,40026671,AD,Disease,AD096003; AD096007; AD096011,Mouse,Left Hippocampus,Female,no data available,6m,14199,10x Genomics,Single-nucleus RNA sequencing,3xTg-AD
AD096002,GSM8147267,40026671,AD,Disease,AD096004; AD096008; AD096012,Mouse,Left Hippocampus,Female,no data available,12m,15159,10x Genomics,Single-nucleus RNA sequencing,3xTg-AD
AD096003,GSM8147268,40026671,AD,Healthy,,Mouse,Left Hippocampus,Female,no data available,6m,12154,10x Genomics,Single-nucleus RNA sequencing,wt
AD096004,GSM8147269,40026671,AD,Healthy,,Mouse,Left Hippocampus,Female,no data available,12m,18205,10x Genomics,Single-nucleus RNA sequencing,wt
AD096005,GSM8147270,40026671,AD,Disease,AD096003; AD096007; AD096011,Mouse,Left Hippocampus,Female,no data available,6m,15897,10x Genomics,Single-nucleus RNA sequencing,3xTg-AD
AD096006,GSM8147271,40026671,AD,Disease,AD096004; AD096008; AD096012,Mouse,Left Hippocampus,Female,no data available,12m,15765,10x Genomics,Single-nucleus RNA sequencing,3xTg-AD
AD096007,GSM8147272,40026671,AD,Healthy,,Mouse,Left Hippocampus,Female,no data available,6m,16040,10x Genomics,Single-nucleus RNA sequencing,wt
