Paper_id,public_data_id,Disease,species,n_samples,pmid,library_prep_protocol,methodology,title,journal,author,citation,abstract,doi,Publish date,Brain Region,drug?,single cell?,scRNA index,figure_type
ST028 ,/bil/lz/kjohnst2/b72faf9d87d7fc00,AD,Mouse,20 (brain sections across 4 genotypes),39103533,Vizgen,MERSCOPE,Single-cell spatial transcriptomics reveals distinct patterns of dysregulation in non-neuronal and neuronal cells induced by the Trem2^R47H^ Alzheimer’s risk gene mutation,Mol. Psychiatry,"Kevin G Johnston, Bereket T Berackey, Kristine M Tran, Alon Gelber, Zhaoxia Yu, Grant R MacGregor, Eran A Mukamel, Zhiqun Tan, Kim N Green, Xiangmin Xu","Johnston, K. G., Berackey, B. T., Tran, K. M., Gelber, A., Yu, Z., MacGregor, G. R., ... & Xu, X. (2025). Single-cell spatial transcriptomics reveals distinct patterns of dysregulation in non-neuronal and neuronal cells induced by the Trem2 R47H Alzheimer’s risk gene mutation. Molecular Psychiatry, 30(2), 461-477.",Yes,10.1038/s41380-024-02651-0,2/1/25,Cerebral Cortex (multiple cortical & subcortical regions in coronal sections),Yes,No,,DAPI; PolyT
ST029,GSE174321,AD,Mouse,4,38036733,10x genomics,Visium,Spatiotemporal characterization of glial cell activation in an Alzheimer’s disease model by spatially resolved transcriptomics,Experimental & Molecular Medicine,Hongyoon Choi et al.,"Choi H et al., Exp Mol Med 2023",We investigated spatially resolved transcriptomes in a 5XFAD AD model at different ages. Spatial transcriptomic data from 5XFAD and control mice were obtained to identify differentially expressed genes and glial activation signatures.,10.1038/s12276-023-01123-9,12/1/23,Whole brain (gray and white matter),no treatment,No,,H&E
ST030,Zenodo:10404412,AD,Mouse,"56 (11 AD, 10 WT)",38796425,10x genomics,Visium,Spatial transcriptomic brain imaging reveals the effects of immunomodulation therapy on specific regional brain cells in a mouse dementia model,BMC Genomics,Eun Ji Lee et al.,"Lee EJ et al., BMC Genomics 2024","Spatial transcriptomic profiles were generated from cortex, hippocampus, thalamus, amygdala, etc., in 5xFAD AD mice with various treatments. We organized a Visium workflow and developed spatial analysis tools to identify disease-associated genes in specific cell types and regions.",10.1186/s12864-024-10434-8,5/25/24,"Cortex, hippocampus, thalamus, amygdala",Yes,No,,H&E
ST032,GSE263034; GSE263079; GSE282928,AD,Human,"60 (13 immunized AD, 6 non-immunized AD, 6 controls)",40050704,10x genomics,Visium,Microglial mechanisms drive amyloid-β clearance in immunized patients with Alzheimer’s disease,Nature Medicine,Lynn van Olst et al.,"van Olst L et al., Nat Med 2025","We performed Visium spatial transcriptomics and sc/snRNA-seq on frontal cortex from 25 human brains (immunized AD, non-immunized AD, controls). Microglia from immunized patients showed AD-like profiles; immunization induced protective glial responses and reversed DAM signatures.",10.1038/s41591-025-03574-1,3/6/25,Frontal cortex,Yes,"yes (I have checked , Weidong.)",AD073,H&E
ST034,https://doi.org/10.5281/zenodo.8206638,AD,Mouse,6,38159571,10x genomics,Xenium,An exhausted-like microglial population accumulates in aged and APOE4 genotype Alzheimer's brains,Immunity,Alon Millet et al.,"Millet A et al., Immunity 2024",10x Visium spatial and sc/snRNA-seq analyses in aged APOE4 and APOE3 mice (and humans) identified an “exhausted” microglial state induced by aging/APOE4. This state showed mixed neurodegenerative and degenerative gene signatures and was validated by multiplexed spatial transcriptomics and imaging.,10.1016/j.immuni.2023.12.001,1/9/24,Brain (cortex),Yes,yes,AD112,high resolution morphology image(HE-lke)
ST035,GSE221365,AD,Human,8 (8 diseease 8 control),38417436,10x genomics,Visium,Single-nucleus RNA sequencing demonstrates an autosomal dominant Alzheimer’s disease profile and possible mechanisms of disease protection,Neuron,Maria C. Almeida et al.,"Almeida MC et al., Neuron 2024",We performed snRNA-seq of PSEN1-E280A and control brains and Visium spatial transcriptomics of frontal cortex and hippocampus. PSEN1-Astrocytes/microglia had AD-like signatures; spatial data confirmed these profiles around plaques. A protective glial response signature was identified in an APOE3 Christchurch carrier.,10.1016/j.neuron.2024.02.009,2/27/24,"Frontal cortex, hippocampus",no treatment,Yes,AD069,H&E
ST039,GSE218360,AD,Mouse,"7 (PBS n=21, Staph n=16)",37436901,10x genomics,Visium,Multi-transcriptomics reveals brain cellular responses to peripheral infection in Alzheimer's disease model mice,Cell Reports,Yi Lu et al.,"Lu Y et al., Cell Rep 2023","In APP/PS1 mice exposed to chronic Staphylococcus aureus (n=16) vs PBS (n=21), spatial (Visium) and bulk RNA-seq showed that peripheral infection increases plaque load and induces region- and cell-type–specific transcriptional changes, especially at blood–brain barriers and plaques.",10.1016/j.celrep.2023.112785,7/25/23,Cortex and brain barriers,no treatment,Yes,AD066,NA
ST040,GSE209583,AD,Mouse,14 (5 per group),38155736,10x genomics,Visium,Human neural stem cells restore spatial memory in a transgenic Alzheimer's disease mouse model by an immunomodulating mechanism,Frontiers in Aging Neuroscience,Kevin S. Chen et al.,"Chen KS et al., Front Aging Neurosci 2023","In 5XFAD mice (n=5/group) transplanted with human neural stem cells (hNSCs) in hippocampus, Visium ST revealed normalization of 1,061 dysregulated genes, especially in microglia (DAM genes) and microglia-astrocyte signaling pathways. hNSCs improved memory without reducing plaques, acting via microglial modulation.",10.3389/fnagi.2023.1306004,12/14/23,Hippocampus (fimbria),Yes,No,,H&E
ST044,https://doi.org/10.5061/dryad.m63xsj4ck (need to be open with R),AD,Mouse,"8 (3 WT, 3 ApoeCh, 3 5xFAD, 3 5xFAD;ApoeCh)",39844286,Nanostring,CosMx,APOE Christchurch enhances a disease-associated microglial response to plaque but suppresses response to tau pathology,Molecular Neurodegeneration,"Kristine M Tran , Nellie E Kwang , Claire A Butler , Angela Gomez-Arboledas , Shimako Kawauchi  , Cassandra Mar , Donna Chao , Rocio A Barahona , Celia Da Cunha , Kate I Tsourmas , Zechuan Shi , Shuling Wang , Sherilyn Collins , Amber Walker , Kai-Xuan Shi , Joshua A Alcantara , Jonathan Neumann , Duc M Duong , Nicholas T Seyfried , Andrea J Tenner    , Frank M LaFerla  , Lindsay A Hohsfield , Vivek Swarup   , Grant R MacGregor  , Kim N Green","Tran, K. M., Kwang, N. E., Butler, C. A., Gomez-Arboledas, A., Kawauchi, S., Mar, C., ... & Green, K. N. (2025). APOE Christchurch enhances a disease-associated microglial response to plaque but suppresses response to tau pathology. Molecular Neurodegeneration, 20(1), 9.","Background: Apolipoprotein E ε4 (APOE4) is the strongest genetic risk factor for late-onset Alzheimer's disease (LOAD). A recent case report identified a rare variant in APOE, APOE3-R136S (Christchurch), proposed to confer resistance to autosomal dominant Alzheimer's Disease (AD). However, it remains unclear whether and how this variant exerts its protective effect. Methods: We introduced the R136S variant into mouse Apoe (ApoeCh) and investigated its effect on the development of AD-related pathology using the 5xFAD model of amyloidosis and the PS19 model of tauopathy. We used immunohistochemical and biochemical analysis along with single-cell spatial omics and bulk proteomics to explore the impact of the ApoeCh variant on AD pathological development and the brain's response to plaques and tau. Results: In 5xFAD mice, ApoeCh enhances a Disease-Associated Microglia (DAM) phenotype in microglia surrounding plaques, and reduces plaque load, dystrophic neurites, and plasma neurofilament light chain. By contrast, in PS19 mice, ApoeCh suppresses the microglial and astrocytic responses to tau-laden neurons and does not reduce tau accumulation or phosphorylation, but partially rescues tau-induced synaptic and myelin loss. We compared how microglia responses differ between the two mouse models to elucidate the distinct DAM signatures induced by ApoeCh. We identified upregulation of antigen presentation-related genes in the DAM response in a PS19 compared to a 5xFAD background, suggesting a differential response to amyloid versus tau pathology that is modulated by the presence of ApoeCh. Bulk proteomics show upregulated mitochondrial protein abundance with ApoeCh in 5xFAD mice, but reductions in mitochondrial and translation associated proteins in PS19 mice. Conclusions: These findings highlight the ability of the ApoeCh variant to modulate microglial responses based on the type of pathology, enhancing DAM reactivity in amyloid models and dampening neuroinflammation to promote protection in tau models. This suggests that the Christchurch variant's protective effects likely involve multiple mechanisms, including changes in receptor binding and microglial programming. Keywords: 5xFAD; APOE Christchurch; Amyloid; DAM; Microglia; PS19; Resilience; Tau.",10.1186/s13024-024-00793-x,1/22/25,Cortex / Hippocampus,no treatment,No,,NA
ST047,https://zenodo.org/records/15304115 (need open with python),PD,Human,16 (436157 cells),40323467,10x genomics,Xenium,Oligodendroglia vulnerability in the human dorsal striatum in Parkinson's disease,bioRxiv,"Juan M Barba-Reyes , Lisbeth Harder , Sergio Marco Salas  , Methasit Jaisa-Aad  , Clara Muñoz-Castro  , Leonardo D Garma , Nima Rafati , Mats Nilsson , Bradley T Hyman  , Alberto Serrano-Pozo  , Ana B Muñoz-Manchado","Barba-Reyes, J. M., Harder, L., Salas, S. M., Jaisa-aad, M., Muñoz-Castro, C., Rafati, N., ... & Muñoz-Manchado, A. B. (2025). Oligodendroglia vulnerability in the human dorsal striatum in Parkinson’s disease. bioRxiv, 2025-01.","Oligodendroglia are the responsible cells for myelination in the central nervous system and their involvement in Parkinson's disease (PD) is poorly understood. We performed sn-RNA-seq and image-based spatial transcriptomics of human caudate nucleus and putamen (dorsal striatum) from PD and control brain donors to elucidate the diversity of oligodendroglia and how they are affected by the disease. We profiled a total of ~ 200.000 oligodendroglial nuclei, defining 15 subclasses, from precursor to mature cells, 4 of which are disease-associated. These PD-specific populations are characterized by the overexpression of heat shock proteins, as well as distinct expression signatures related to immune responses, myelination alterations, and disrupted cell signaling pathways. We have also identified impairments in cell communication and oligodendrocyte development, evidenced by changes in neurotransmitter receptors expression and cell adhesion molecules. In addition, we observed significant disruptions in oligodendrocyte development, with aberrant differentiation trajectories and shifts in cell proportions, particularly in the transition from mature oligodendrocytes to disease-associated states. Quantitative immunohistochemical analysis revealed decreased myelin levels in the PD striatum, which correlated with transcriptomic alterations. Furthermore, spatial transcriptomics mapping revealed the distinct localization of disease-associated populations within the striatum, with evidence of impaired myelin integrity. Thus, we uncover oligodendroglia as a critical cell type in PD and a potential new therapeutic target for myelin-based interventions.",10.1007/s00401-025-02884-5,5/5/25,Dorsal striatum,no,No,,DAPI&GFAP
ST048,https://github.com/LieberInstitute/spatialDLPFC/blob/main/README.md (R open),PD,Human,30,38781370,10x genomics,Visium,A data-driven single-cell and spatial transcriptomic map of the human prefrontal cortex,Science,"Louise A Huuki-Myers , Abby Spangler , Nicholas J Eagles , Kelsey D Montgomery , Sang Ho Kwon  , Boyi Guo , Melissa Grant-Peters  , Heena R Divecha , Madhavi Tippani , Chaichontat Sriworarat  , Annie B Nguyen , Prashanthi Ravichandran , Matthew N Tran , Arta Seyedian ; PsychENCODE Consortium†; Thomas M Hyde   , Joel E Kleinman  , Alexis Battle    , Stephanie C Page  , Mina Ryten   , Stephanie C Hicks    , Keri Martinowich    , Leonardo Collado-Torres   , Kristen R Maynard   ; PsychENCODE Consortium","Huuki-Myers, L. A., Spangler, A., Eagles, N. J., Montgomery, K. D., Kwon, S. H., Guo, B., ... & Maynard, K. R. (2024). A data-driven single-cell and spatial transcriptomic map of the human prefrontal cortex. Science, 384(6698), eadh1938.","The molecular organization of the human neocortex historically has been studied in the context of its histological layers. However, emerging spatial transcriptomic technologies have enabled unbiased identification of transcriptionally defined spatial domains that move beyond classic cytoarchitecture. We used the Visium spatial gene expression platform to generate a data-driven molecular neuroanatomical atlas across the anterior-posterior axis of the human dorsolateral prefrontal cortex. Integration with paired single-nucleus RNA-sequencing data revealed distinct cell type compositions and cell-cell interactions across spatial domains. Using PsychENCODE and publicly available data, we mapped the enrichment of cell types and genes associated with neuropsychiatric disorders to discrete spatial domains.",10.1126/science.adh1938,5/24/24,Prefrontal cortex,no,No,,H&E
ST049,https://doi.org/10.17044/scilifelab.22778920,PD,Mouse / Human,19,37667091,10x genomics,Visium,Spatial multimodal analysis of transcriptomes and metabolomes in tissues,Nature Biotechnology,"Marco Vicari , Reza Mirzazadeh , Anna Nilsson , Reza Shariatgorji , Patrik Bjärterot , Ludvig Larsson , Hower Lee , Mats Nilsson , Julia Foyer , Markus Ekvall , Paulo Czarnewski , Xiaoqun Zhang , Per Svenningsson  , Lukas Käll , Per E Andrén , Joakim Lundeberg","Vicari, M., Mirzazadeh, R., Nilsson, A., Shariatgorji, R., Bjärterot, P., Larsson, L., ... & Lundeberg, J. (2024). Spatial multimodal analysis of transcriptomes and metabolomes in tissues. Nature Biotechnology, 42(7), 1046-1050.","We present a spatial omics approach that combines histology, mass spectrometry imaging and spatial transcriptomics to facilitate precise measurements of mRNA transcripts and low-molecular-weight metabolites across tissue regions. The workflow is compatible with commercially available Visium glass slides. We demonstrate the potential of our method using mouse and human brain samples in the context of dopamine and Parkinson's disease.",10.1038/s41587-023-01937-y,1/7/24,Multiple tissues including brain,no,No,,H&E
ST050,https://zenodo.org/records/13971633,PD,Mouse,7,40353820,Vizgen,MERFISH,Molecular and spatial transcriptomic classification of midbrain dopamine neurons and their alterations in a LRRK2G2019S model of Parkinson’s disease,eLife,"Zachary Gaertner  , Cameron Oram , Amanda Schneeweis  , Elan Schonfeld , Cyril Bolduc , Chuyu Chen  , Daniel Dombeck  , Loukia Parisiadou  , Jean-Francois Poulin , Rajeshwar Awatramani","Gaertner, Z., Oram, C., Schneeweis, A., Schonfeld, E., Bolduc, C., Chen, C., ... & Awatramani, R. (2025). Molecular and spatial transcriptomic classification of midbrain dopamine neurons and their alterations in a LRRK2G2019S model of Parkinson’s disease. eLife, 13, RP101035.","Several studies have revealed that midbrain dopamine (DA) neurons, even within a single neuroanatomical area, display heterogeneous properties. In parallel, studies using singlecell profiling techniques have begun to cluster DA neurons into subtypes based on their molecular signatures. Recent work has shown that molecularly defined DA subtypes within the substantia nigra (SNc) display distinctive anatomic and functional properties, and differential vulnerability in Parkinson's disease (PD). Based on these provocative results, a granular understanding of these putative subtypes and their alterations in PD models, is imperative. We developed an optimized pipeline for single-nuclear RNA sequencing (snRNA-seq) and generated a high-resolution hierarchically organized map revealing 20 molecularly distinct DA neuron subtypes belonging to three main families. We integrated this data with spatial MERFISH technology to map, with high definition, the location of these subtypes in the mouse midbrain, revealing heterogeneity even within neuroanatomical sub-structures. Finally, we demonstrate that in the preclinical LRRK2G2019S knock-in mouse model of PD, subtype organization and proportions are preserved. Transcriptional alterations occur in many subtypes including those localized to the ventral tier SNc, where differential expression is observed in synaptic pathways, which might account for previously described DA release deficits in this model. Our work provides an advancement of current taxonomic schemes of the mouse midbrain DA neuron subtypes, a high-resolution view of their spatial locations, and their alterations in a prodromal mouse model of PD.",10.7554/eLife.101035,12/5/25,Midbrain (dopaminergic regions),no,yes,AD023,NA
ST052,https://zenodo.org/records/10729767,PD,Human,10 (8 human; 12 mouse),38531900,10x genomics,Visium,Spatial transcriptomics reveals molecular dysfunction associated with cortical Lewy pathology,Nature communications,"Thomas M Goralski  , Lindsay Meyerdirk  , Libby Breton  , Laura Brasseur  , Kevin Kurgat  , Daniella DeWeerd  , Lisa Turner , Katelyn Becker , Marie Adams , Daniel J Newhouse , Michael X Henderson","Goralski, T. M., Meyerdirk, L., Breton, L., Brasseur, L., Kurgat, K., DeWeerd, D., ... & Henderson, M. X. (2024). Spatial transcriptomics reveals molecular dysfunction associated with cortical Lewy pathology. Nature communications, 15(1), 2642.","A key hallmark of Parkinson's disease (PD) is Lewy pathology. Composed of α-synuclein, Lewy pathology is found both in dopaminergic neurons that modulate motor function, and cortical regions that control cognitive function. Recent work has established the molecular identity of dopaminergic neurons susceptible to death, but little is known about cortical neurons susceptible to Lewy pathology or molecular changes induced by aggregates. In the current study, we use spatial transcriptomics to capture whole transcriptome signatures from cortical neurons with α-synuclein pathology compared to neurons without pathology. We find, both in PD and related PD dementia, dementia with Lewy bodies and in the pre-formed fibril α-synucleinopathy mouse model, that specific classes of excitatory neurons are vulnerable to developing Lewy pathology. Further, we identify conserved gene expression changes in aggregate-bearing neurons that we designate the Lewy-associated molecular dysfunction from aggregates (LAMDA) signature. Neurons with aggregates downregulate synaptic, mitochondrial, ubiquitin-proteasome, endo-lysosomal, and cytoskeletal genes and upregulate DNA repair and complement/cytokine genes. Our results identify neurons vulnerable to Lewy pathology in the PD cortex and describe a conserved signature of molecular dysfunction in both mice and humans.",10.1038/s41467-024-47027-8,3/26/24,Cortex,no,No,,fluorescence microscopy
ST057,GSE256319,PD,Mouse / Human,1,39111312,BGI,Stereo-seq,Nova-ST: Nano-Patterned Ultra-Dense platform for spatial transcriptomics,Cell Reports Methods,"Suresh Poovathingal , Kristofer Davie , Lars E Borm , Roel Vandepoel , Nicolas Poulvellarie , Annelien Verfaillie , Nikky Corthout , Stein Aerts","Poovathingal, S., Davie, K., Borm, L. E., Vandepoel, R., Poulvellarie, N., Verfaillie, A., ... & Aerts, S. (2024). Nova-ST: Nano-patterned ultra-dense platform for spatial transcriptomics. Cell Reports Methods, 4(8).","Spatial transcriptomics workflows using barcoded capture arrays are commonly used for resolving gene expression in tissues. However, existing techniques are either limited by capture array density or are cost prohibitive for large-scale atlasing. We present Nova-ST, a dense nano-patterned spatial transcriptomics technique derived from randomly barcoded Illumina sequencing flow cells. Nova-ST enables customized, low-cost, flexible, and high-resolution spatial profiling of large tissue sections. Benchmarking on mouse brain sections demonstrates significantly higher sensitivity compared to existing methods at a reduced cost.",10.1016/j.crmeth.2024.100831,8/19/24,Multiple brain regions (as examples),no,No,,DAPI
ST059,GSE271011,ALS,Mouse / Human,7,39932195,10x genomics,Visium,Polyamine metabolism dysregulation contributes to muscle fiber vulnerability in ALS,Cell Reports,"Veronica Ruggieri , Silvia Scaricamazza , Andrea Bracaglia , Chiara D'Ercole , Cristina Parisi , Paolo D'Angelo , Daisy Proietti , Chiara Cappelletti , Alberto Macone , Biliana Lozanoska-Ochser , Marina Bouchè , Lucia Latella , Cristiana Valle , Alberto Ferri , Lorenzo Giordani , Luca Madaro","Ruggieri, V., Scaricamazza, S., Bracaglia, A., D’Ercole, C., Parisi, C., D’Angelo, P., ... & Madaro, L. (2025). Polyamine metabolism dysregulation contributes to muscle fiber vulnerability in ALS. Cell Reports, 44(1).","Amyotrophic lateral sclerosis (ALS) is a fatal neurodegenerative disease causing progressive paralysis due to motor neuron degeneration with no curative therapy despite extensive biomedical research. One of the primary targets of ALS is skeletal muscle, which undergoes profound functional changes as the disease progresses. To better understand how altered innervation interferes with muscle homeostasis during disease progression, we generated a spatial transcriptomics dataset of skeletal muscle in the SOD1G93A mouse model of ALS. Using this strategy, we identified polyamine metabolism as one of the main altered pathways in affected muscle fibers. By establishing a correlation between the vulnerability of muscle fibers and the dysregulation of this metabolic pathway, we show that disrupting polyamine homeostasis causes impairments similar to those seen in ALS muscle. Finally, we show that restoration of polyamine homeostasis rescues the muscle phenotype in SOD1G93A mice, opening new perspectives for the treatment of ALS.",10.1016/j.celrep.2024.115123,1/28/25,Spinal cord,yes,no,,fluorescence
ST060,GSE221692,ALS,Human,19,38177242,10x genomics,Visium,Decoding the spatiotemporal regulation of transcription factors during human spinal cord development,Cell Research,"Yingchao Shi , Luwei Huang  , Hao Dong  , Meng Yang , Wenyu Ding , Xiang Zhou  , Tian Lu  , Zeyuan Liu , Xin Zhou  , Mengdi Wang  , Bo Zeng , Yinuo Sun , Suijuan Zhong  , Bosong Wang , Wei Wang  , Chonghai Yin , Xiaoqun Wang   , Qian Wu","Shi, Y., Huang, L., Dong, H., Yang, M., Ding, W., Zhou, X., ... & Wu, Q. (2024). Decoding the spatiotemporal regulation of transcription factors during human spinal cord development. Cell Research, 34(3), 193-213.","The spinal cord is a crucial component of the central nervous system that facilitates sensory processing and motor performance. Despite its importance, the spatiotemporal codes underlying human spinal cord development have remained elusive. In this study, we have introduced an image-based single-cell transcription factor (TF) expression decoding spatial transcriptome method (TF-seqFISH) to investigate the spatial expression and regulation of TFs during human spinal cord development. By combining spatial transcriptomic data from TF-seqFISH and single-cell RNA-sequencing data, we uncovered the spatial distribution of neural progenitor cells characterized by combinatorial TFs along the dorsoventral axis, as well as the molecular and spatial features governing neuronal generation, migration, and differentiation along the mediolateral axis. Notably, we observed a sandwich-like organization of excitatory and inhibitory interneurons transiently appearing in the dorsal horns of the developing human spinal cord. In addition, we integrated data from 10× Visium to identify early and late waves of neurogenesis in the dorsal horn, revealing the formation of laminas in the dorsal horns. Our study also illuminated the spatial differences and molecular cues underlying motor neuron (MN) diversification, and the enrichment of Amyotrophic Lateral Sclerosis (ALS) risk genes in MNs and microglia. Interestingly, we detected disease-associated microglia (DAM)-like microglia groups in the developing human spinal cord, which are predicted to be vulnerable to ALS and engaged in the TYROBP causal network and response to unfolded proteins. These findings provide spatiotemporal transcriptomic resources on the developing human spinal cord and potential strategies for spinal cord injury repair and ALS treatment.",10.1038/s41422-023-00897-x,1/3/24,Developing spinal cord,no,No,,NA
ST061,GSE243077,ALS,Human,13,38934400,10x genomics,Visium,Spatial transcriptomics combined with single-nucleus RNA sequencing reveals glial cell heterogeneity in the human spinal cord,Neural Regeneration Research,"Yali Chen  , Yiyong Wei  , Jin Liu  , Tao Zhu , Cheng Zhou , Donghang Zhang","Chen, Y., Wei, Y., Liu, J., Zhu, T., Zhou, C., & Zhang, D. (2025). Spatial transcriptomics combined with single-nucleus RNA sequencing reveals glial cell heterogeneity in the human spinal cord. Neural Regeneration Research, 20(11), 3302-3316.","JOURNAL/nrgr/04.03/01300535-202511000-00032/figure1/v/2024-12-20T164640Z/r/image-tiff Glial cells play crucial roles in regulating physiological and pathological functions, including sensation, the response to infection and acute injury, and chronic neurodegenerative disorders. Glial cells include astrocytes, microglia, and oligodendrocytes in the central nervous system, and satellite glial cells and Schwann cells in the peripheral nervous system. Despite the greater understanding of glial cell types and functional heterogeneity achieved through single-cell and single-nucleus RNA sequencing in animal models, few studies have investigated the transcriptomic profiles of glial cells in the human spinal cord. Here, we used high-throughput single-nucleus RNA sequencing and spatial transcriptomics to map the cellular and molecular heterogeneity of astrocytes, microglia, and oligodendrocytes in the human spinal cord. To explore the conservation and divergence across species, we compared these findings with those from mice. In the human spinal cord, astrocytes, microglia, and oligodendrocytes were each divided into six distinct transcriptomic subclusters. In the mouse spinal cord, astrocytes, microglia, and oligodendrocytes were divided into five, four, and five distinct transcriptomic subclusters, respectively. The comparative results revealed substantial heterogeneity in all glial cell types between humans and mice. Additionally, we detected sex differences in gene expression in human spinal cord glial cells. Specifically, in all astrocyte subtypes, the levels of NEAT1 and CHI3L1 were higher in males than in females, whereas the levels of CST3 were lower in males than in females. In all microglial subtypes, all differentially expressed genes were located on the sex chromosomes. In addition to sex-specific gene differences, the levels of MT-ND4 , MT2A , MT-ATP6 , MT-CO3 , MT-ND2 , MT-ND3 , and MT-CO2 in all spinal cord oligodendrocyte subtypes were higher in females than in males. Collectively, the present dataset extensively characterizes glial cell heterogeneity and offers a valuable resource for exploring the cellular basis of spinal cord-related illnesses, including chronic pain, amyotrophic lateral sclerosis, and multiple sclerosis.",10.4103/NRR.NRR-D-23-01876,1/11/25,Adult and developing spinal cord,no,No,,H&E
ST063,GSE285858,HD,Mouse,16,40482637,10x genomics,Visium,Distinct molecular patterns in R6/2 HD mouse brain: Insights from spatiotemporal transcriptomics,Neuron,"Mara S Burns , Ricardo Miramontes , Jie Wu , Ravinder Gulia , Madhu S Saddala , Alice L Lau , Tiffany Quach , John C Reidling , Vivek Swarup , Albert R La Spada , Ryan G Lim , Leslie M Thompson","Burns, M. S., Miramontes, R., Wu, J., Gulia, R., Saddala, M. S., Lau, A. L., ... & Thompson, L. M. (2025). Distinct molecular patterns in R6/2 HD mouse brain: Insights from spatiotemporal transcriptomics. Neuron.","Huntington's disease (HD) is marked by widespread cellular dysregulation. To understand disease mechanisms, we and others have utilized bulk and single-cell transcriptomics, which provide cell-type information but limited spatial information. We used 10× Genomics Visium spatial transcriptomics integrated with matched single-nuclei RNA sequencing (snRNA-seq) in the rapidly progressing HD R6/2 mouse brain (post-natal day 0 [P0], 4 weeks, and 12 weeks). Our data suggest regional, temporal, and cell-type-specific regulatory pathways that establish distinct gene expression changes. Synaptic dysfunction is observed broadly throughout the brain, whereas we observed early dysregulation of the transcription factor 4 (Tcf4) that may drive cortical changes. Mitochondrial deficits are the earliest changes, beginning at P0 in the striatum. Striatal identity genes show early increased expression that becomes progressively downregulated. Finally, we identified a time-dependent dysregulation of neuropeptide Y signaling and potential interaction with the cyclic adenosine monophosphate/protein kinase A (cAMP/PKA) pathway, which may be involved in the imbalance between Drd1 and Drd2 neuron vulnerability.",10.1016/j.neuron.2025.05.014,2/6/25,"Whole brain (striatum, cortex, etc.)",no,yes,HD006,NA
ST066,GSE174647(没打开看),MS,Human,"210 (32 disease, 5 control)",35726057,NA,Squencing based,Identification of early neurodegenerative pathways in progressive multiple sclerosis,Nature neuroscience,"Max Kaufmann , Anna-Lena Schaupp , Rosa Sun   , Fabian Coscia  , Calliope A Dendrou  , Adrian Cortes , Gurman Kaur   , Hayley G Evans , Annelie Mollbrink , José Fernández Navarro , Jana K Sonner , Christina Mayer , Gabriele C DeLuca , Joakim Lundeberg , Paul M Matthews  , Kathrine E Attfield , Manuel A Friese , Matthias Mann  , Lars Fugger","Kaufmann, M., Schaupp, A. L., Sun, R., Coscia, F., Dendrou, C. A., Cortes, A., ... & Fugger, L. (2022). Identification of early neurodegenerative pathways in progressive multiple sclerosis. Nature neuroscience, 25(7), 944-955.","Progressive multiple sclerosis (MS) is characterized by unrelenting neurodegeneration, which causes cumulative disability and is refractory to current treatments. Drug development to prevent disease progression is an urgent clinical need yet is constrained by an incomplete understanding of its complex pathogenesis. Using spatial transcriptomics and proteomics on fresh-frozen human MS brain tissue, we identified multicellular mechanisms of progressive MS pathogenesis and traced their origin in relation to spatially distributed stages of neurodegeneration. By resolving ligand-receptor interactions in local microenvironments, we discovered defunct trophic and anti-inflammatory intercellular communications within areas of early neuronal decline. Proteins associated with neuronal damage in patient samples showed mechanistic concordance with published in vivo knockdown and central nervous system (CNS) disease models, supporting their causal role and value as potential therapeutic targets in progressive MS. Our findings provide a new framework for drug development strategies, rooted in an understanding of the complex cellular and signaling dynamics in human diseased tissue that facilitate this debilitating disease.",10.1038/s41593-022-01097-3,1/7/22,Multiple brain regions (lesions),no,No,,H&E
ST067,GSE236963,MS,Human,"11 (6 disease, 5 control)",39475792,10x genomics,Visium,Spatial Transcriptomics of Meningeal Inflammation Reveals Variable Penetrance of Inflammatory Gene Signatures into Adjacent Brain Parenchyma,bioRxiv,"Sachin P Gadani , Saumitra Singh , Sophia Kim , Jingwen Hu , Matthew D Smith , Peter A Calabresi  , Pavan Bhargava","Gadani, S. P., Singh, S., Kim, S., Hu, J., Smith, M. D., Calabresi, P. A., & Bhargava, P. (2023). Spatial Transcriptomics of Meningeal Inflammation Reveals Variable Penetrance of Inflammatory Gene Signatures into Adjacent Brain Parenchyma. bioRxiv, 2023-06.","While modern high efficacy disease modifying therapies have revolutionized the treatment of relapsing-remitting multiple sclerosis, they are less effective at controlling progressive forms of the disease. Meningeal inflammation is a recognized risk factor for cortical gray matter pathology which can result in disabling symptoms such as cognitive impairment and depression, but the mechanisms linking meningeal inflammation and gray matter pathology remain unclear. Here, we performed magnetic resonance imaging (MRI)-guided spatial transcriptomics in a mouse model of autoimmune meningeal inflammation to characterize the transcriptional signature in areas of meningeal inflammation and the underlying brain parenchyma. We found broadly increased activity of inflammatory signaling pathways at sites of meningeal inflammation, but only a subset of these pathways active in the adjacent brain parenchyma. Subclustering of regions adjacent to meningeal inflammation revealed the subset of immune programs induced in brain parenchyma, notably complement signaling and antigen processing/presentation. Trajectory gene and gene set modeling analysis confirmed variable penetration of immune signatures originating from meningeal inflammation into the adjacent brain tissue. This work contributes a valuable data resource to the field, provides the first detailed spatial transcriptomic characterization in a model of meningeal inflammation, and highlights several candidate pathways in the pathogenesis of gray matter pathology.",10.7554/eLife.88414,10/30/24,Meninges + adjacent parenchyma,no,No,,H&E
